,precision,recall,f1-score,support
Good,0.5794117647058824,0.42548596112311016,0.49066002490660027,463.0
Hazardous,0.7211538461538461,0.7075471698113207,0.7142857142857143,106.0
Moderate,0.701419878296146,0.7802346570397112,0.738731040375988,2216.0
Unhealthy,0.4846938775510204,0.3492647058823529,0.405982905982906,1088.0
Very_Unhealthy,0.6397578203834511,0.781750924784217,0.7036625971143174,811.0
accuracy,0.6436806148590948,0.6436806148590948,0.6436806148590948,0.6436806148590948
macro avg,0.6252874374180692,0.6088566837281424,0.6106644565331052,4684.0
weighted avg,0.6287888420499317,0.6436806148590948,0.6302941141520804,4684.0
