model,cv_rows,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std
LogisticRegression_SGD,230500,0.5797527114967462,0.05128120761139626,0.5020373799097427,0.06668146129824852,0.5268828093774177,0.08168291037163841
DecisionTree,230500,0.9880737527114967,0.0006548533540690119,0.9422339495902026,0.0028459633654426037,0.9882695731018641,0.0006328982610075521
RandomForest,230500,0.9318438177874186,0.0018663671540270405,0.8896610546578344,0.0038309790996147687,0.9326766072536266,0.0018058387864140885
