model,split,accuracy,weighted_f1,macro_f1,cohen_kappa
DecisionTree,test,0.667805294619983,0.6710932435741329,0.6601884498394271,0.517024091262205
RandomForest,test,0.6524338172502135,0.6422128393301411,0.570877368507418,0.47544305343923143
ExtraTrees,test,0.6436806148590948,0.6302941141520804,0.6106644565331052,0.4664586990187669
LogisticRegression,test,0.5597779675491034,0.5653232423749552,0.5426148704727075,0.3664675564476323
RandomForest,val,0.878,0.8766469332086353,0.6822364585768842,0.8052387581256945
DecisionTree,val,0.85,0.849972221768463,0.8494369211166832,0.7619833451812734
ExtraTrees,val,0.848,0.8468755370770009,0.8589028455957163,0.7577751005552049
LogisticRegression,val,0.722,0.7268296944793075,0.5482528583483018,0.5771039837413215
