true_label,pred_label,max_probability,is_correct
Good,Good,0.9999996501905681,True
Unhealthy,Unhealthy,0.9999929532999596,True
Satisfactory,Satisfactory,0.9999998871638222,True
Unhealthy,Unhealthy,0.9999995374726606,True
Moderate,Moderate,0.999999512830074,True
Good,Good,0.9999971643680957,True
Unhealthy,Unhealthy,0.9999997565320486,True
Unhealthy,Unhealthy,0.9999991223042247,True
Moderate,Moderate,0.9999912120735582,True
Unhealthy,Unhealthy,0.999990982147753,True
Unhealthy,Unhealthy,0.9999994849470292,True
Satisfactory,Satisfactory,0.999996004516863,True
Good,Good,0.9999997470382591,True
Moderate,Moderate,0.9999976971203388,True
Good,Good,0.9999982772574509,True
Moderate,Moderate,0.9999979589843344,True
Satisfactory,Satisfactory,0.9999989549743199,True
Good,Good,0.999999234365117,True
Moderate,Moderate,0.9999996592302185,True
Unhealthy,Unhealthy,0.9999894351060808,True
Good,Good,0.9999998982362298,True
Good,Good,0.9999998863018866,True
Moderate,Moderate,0.9999982555595786,True
Unhealthy,Unhealthy,0.999997570181029,True
Satisfactory,Satisfactory,0.9999959118185755,True
Good,Good,0.999999474999164,True
Good,Good,0.9999996610451262,True
Good,Good,0.9999983170944755,True
Moderate,Moderate,0.9999994859724033,True
Moderate,Moderate,0.9999996259985859,True
Satisfactory,Satisfactory,0.9999999405361553,True
Moderate,Moderate,0.9999997815501567,True
Unhealthy,Unhealthy,0.999995983712977,True
Good,Good,0.99999767199093,True
Satisfactory,Satisfactory,0.9999984709392619,True
Good,Good,0.9999999567342653,True
Good,Good,0.9999995007059893,True
Moderate,Moderate,0.9998660026814193,True
Good,Good,0.9999989668229531,True
Moderate,Moderate,0.9999993100819334,True
Moderate,Moderate,0.999841285879825,True
Good,Good,0.9999994544885304,True
Unhealthy,Unhealthy,0.9999820616187609,True
Unhealthy,Unhealthy,0.9999995919289997,True
Good,Good,0.9999993777824637,True
Unhealthy,Unhealthy,0.8226796886416395,True
Unhealthy,Unhealthy,0.9999999638202586,True
Good,Good,0.9999996195422072,True
Satisfactory,Satisfactory,0.9999930960801718,True
Moderate,Moderate,0.9999995805784301,True
Unhealthy,Unhealthy,0.9999988235995513,True
Moderate,Moderate,0.9976513056651306,True
Unhealthy,Unhealthy,0.9999986085433971,True
Moderate,Moderate,0.9998659426425281,True
Unhealthy,Unhealthy,0.9999997947689973,True
Moderate,Moderate,0.9999960058701399,True
Moderate,Moderate,0.9999997366075059,True
Unhealthy,Unhealthy,0.9999996371090276,True
Moderate,Moderate,0.9999992127357339,True
Satisfactory,Satisfactory,0.9999927840783787,True
Very_Unhealthy,Very_Unhealthy,0.9999986431768031,True
Satisfactory,Satisfactory,0.9999998511718335,True
Moderate,Moderate,0.999999932215523,True
Moderate,Moderate,0.9999884291201443,True
Moderate,Moderate,0.9999997770776512,True
Good,Good,0.9999988456006138,True
Good,Good,0.9999997943466689,True
Moderate,Moderate,0.9996999468270017,True
Satisfactory,Satisfactory,0.9999998942368974,True
Unhealthy,Unhealthy,0.9993444592546255,True
Unhealthy,Unhealthy,0.9999994795376221,True
Unhealthy,Unhealthy,0.9999983813700776,True
Moderate,Moderate,0.9999983585266735,True
Unhealthy,Unhealthy,0.9999997498632667,True
Good,Good,0.9999991565712848,True
Satisfactory,Satisfactory,0.9999701842603816,True
Very_Unhealthy,Very_Unhealthy,0.9999996553033113,True
Moderate,Moderate,0.9999998475328652,True
Good,Good,0.9999998151264149,True
Good,Good,0.9999994368959653,True
Moderate,Moderate,0.9999992954823983,True
Satisfactory,Satisfactory,0.9999990977880748,True
Good,Good,0.9999987687750633,True
Unhealthy,Unhealthy,0.9999999055169333,True
Unhealthy,Unhealthy,0.9999068250183449,True
Moderate,Moderate,0.9999992865044193,True
Moderate,Moderate,0.999988392418125,True
Moderate,Moderate,0.9999810889737444,True
Satisfactory,Satisfactory,0.9999998550095289,True
Good,Good,0.9999994520112881,True
Satisfactory,Satisfactory,0.9999949732766714,True
Moderate,Moderate,0.9939654042363787,True
Unhealthy,Unhealthy,0.9999995103004955,True
Moderate,Moderate,0.9999886886114202,True
Good,Good,0.9999991087789875,True
Moderate,Moderate,0.9999955405078451,True
Moderate,Moderate,0.9999986757616356,True
Good,Good,0.9999997334655919,True
Moderate,Moderate,0.9999981722793626,True
Unhealthy,Unhealthy,0.9999998019742352,True
Good,Good,0.9999995034984916,True
Unhealthy,Unhealthy,0.9999867641136087,True
Good,Good,0.9999996424197017,True
Unhealthy,Unhealthy,0.9999977158187953,True
Unhealthy,Unhealthy,0.9999989230306484,True
Moderate,Moderate,0.9999877346248948,True
Good,Good,0.9999997789625472,True
Unhealthy,Unhealthy,0.9999960411616219,True
Good,Good,0.9999995856836195,True
Moderate,Moderate,0.9999998279569974,True
Satisfactory,Satisfactory,0.9999992015267877,True
Moderate,Moderate,0.9999991363628891,True
Satisfactory,Satisfactory,0.9999983773262834,True
Very_Unhealthy,Very_Unhealthy,0.9999954476716596,True
Moderate,Moderate,0.9999994864153285,True
Good,Good,0.9999994516100593,True
Good,Good,0.9999997010465301,True
Unhealthy,Unhealthy,0.8918833731690646,True
Unhealthy,Unhealthy,0.9999999237835937,True
Very_Unhealthy,Very_Unhealthy,0.999999670407445,True
Moderate,Moderate,0.9999957047067606,True
Unhealthy,Unhealthy,0.9999997292839575,True
Unhealthy,Unhealthy,0.9999957072734008,True
Satisfactory,Satisfactory,0.9999998140919292,True
Moderate,Moderate,0.9999993645718427,True
Good,Good,0.9999998980486187,True
Good,Good,0.9999996726071531,True
Satisfactory,Satisfactory,0.9999998494621964,True
Unhealthy,Unhealthy,0.9999953426246636,True
Satisfactory,Satisfactory,0.9999997516260735,True
Unhealthy,Unhealthy,0.9999998512381282,True
Moderate,Moderate,0.9999973689687746,True
Moderate,Moderate,0.9999988041713088,True
Unhealthy,Unhealthy,0.9999972737644865,True
Unhealthy,Unhealthy,0.9999985946267951,True
Good,Good,0.9999998211740697,True
Unhealthy,Unhealthy,0.9999997939068334,True
Good,Good,0.9999981520412179,True
Moderate,Moderate,0.9999732453167866,True
Moderate,Moderate,0.9999985235319236,True
Unhealthy,Unhealthy,0.9999882135185169,True
Good,Good,0.9999995270663345,True
Satisfactory,Satisfactory,0.9999991784999965,True
Good,Good,0.9999995924546741,True
Moderate,Moderate,0.999994900151104,True
Unhealthy,Unhealthy,0.9999998410207327,True
Moderate,Moderate,0.9999412643674744,True
Very_Unhealthy,Very_Unhealthy,0.9999998688789767,True
Moderate,Moderate,0.9999988061980124,True
Moderate,Moderate,0.9999904790381956,True
Unhealthy,Unhealthy,0.9999997910717892,True
Good,Good,0.9999823602103372,True
Moderate,Moderate,0.9954371613617246,True
Moderate,Moderate,0.9999904274438154,True
Good,Good,0.9999996693760472,True
Moderate,Moderate,0.9999867042809373,True
Moderate,Moderate,0.9999946910953477,True
Good,Good,0.9999998048077806,True
Good,Good,0.9999993378544761,True
Moderate,Moderate,0.9999915190661198,True
Moderate,Moderate,0.8262416977700769,True
Good,Good,0.9999965744558448,True
Satisfactory,Satisfactory,0.9999986950765658,True
Unhealthy,Unhealthy,0.9999981165057457,True
Moderate,Moderate,0.99999953109501,True
Moderate,Moderate,0.9999630350155665,True
Unhealthy,Unhealthy,0.9999933226621934,True
Satisfactory,Satisfactory,0.999987286920412,True
Satisfactory,Satisfactory,0.9999991381864413,True
Good,Good,0.9999949798216736,True
Moderate,Moderate,0.9999996684427146,True
Hazardous,Hazardous,0.9999999575833545,True
Good,Good,0.9999936972265328,True
Unhealthy,Unhealthy,0.9999210254026492,True
Satisfactory,Satisfactory,0.9999992834748799,True
Good,Good,0.9999996580232179,True
Satisfactory,Satisfactory,0.9999998589233915,True
Good,Good,0.9999993979533907,True
Moderate,Moderate,0.9998867583324853,True
Unhealthy,Unhealthy,0.9999998364684629,True
Moderate,Moderate,0.9999992881132632,True
Unhealthy,Unhealthy,0.9999990525566079,True
Moderate,Moderate,0.9999993749583175,True
Moderate,Moderate,0.9999984774784066,True
Satisfactory,Satisfactory,0.9999933859185588,True
Moderate,Moderate,0.9999554306126534,True
Moderate,Moderate,0.99999384898171,True
Satisfactory,Satisfactory,0.9999991718685989,True
Good,Good,0.999999457217347,True
Unhealthy,Unhealthy,0.9999999602577896,True
Good,Good,0.999993505415374,True
Unhealthy,Unhealthy,0.9999998515799591,True
Moderate,Moderate,0.9999996252155615,True
Good,Good,0.9999992824514692,True
Moderate,Moderate,0.9999999212312547,True
Moderate,Moderate,0.9999603025590811,True
Good,Good,0.9999975976907552,True
Unhealthy,Unhealthy,0.9999999701020457,True
Moderate,Moderate,0.999998698926638,True
Good,Good,0.9999995783881991,True
Moderate,Moderate,0.9999991763912768,True
Moderate,Moderate,0.9999984235739188,True
Unhealthy,Unhealthy,0.9999942652846691,True
Good,Good,0.9999992792318048,True
Moderate,Moderate,0.9999998854334318,True
Moderate,Moderate,0.9999977901571835,True
Good,Good,0.9999990868250134,True
Moderate,Moderate,0.9999733750526678,True
Moderate,Moderate,0.999998835300579,True
Good,Good,0.999999575371856,True
Unhealthy,Unhealthy,0.9999991105601278,True
Good,Good,0.9999990557519599,True
Moderate,Moderate,0.9999987179376096,True
Satisfactory,Satisfactory,0.9999993597557493,True
Good,Good,0.9999983699535303,True
Moderate,Moderate,0.9999997134677733,True
Good,Good,0.9999997760548334,True
Satisfactory,Satisfactory,0.9999996032281917,True
Good,Good,0.9999997976748444,True
Unhealthy,Unhealthy,0.999998378015994,True
Good,Good,0.9999899760035386,True
Good,Good,0.9999983486998892,True
Unhealthy,Unhealthy,0.9999999071659849,True
Unhealthy,Unhealthy,0.9999988375014595,True
Moderate,Moderate,0.9999997689183485,True
Unhealthy,Unhealthy,0.9999898077327027,True
Moderate,Moderate,0.9999770425894077,True
Satisfactory,Satisfactory,0.9999993040958657,True
Moderate,Moderate,0.999919707425963,True
Satisfactory,Satisfactory,0.9999988377973879,True
Good,Good,0.999999944365392,True
Moderate,Moderate,0.9997225948853923,True
Good,Good,0.999999103186014,True
Moderate,Moderate,0.9999990391983363,True
Good,Good,0.9999985952915084,True
Very_Unhealthy,Very_Unhealthy,0.9999994168870893,True
Moderate,Moderate,0.9999969451659467,True
Satisfactory,Satisfactory,0.999999473492618,True
Unhealthy,Unhealthy,0.9999976498260272,True
Unhealthy,Unhealthy,0.999996535312171,True
Good,Good,0.9999989996473546,True
Moderate,Moderate,0.9999994500786351,True
Moderate,Moderate,0.9996969520673095,True
Unhealthy,Unhealthy,0.9999883143724082,True
Moderate,Moderate,0.9999958483549047,True
Satisfactory,Satisfactory,0.9999998419521964,True
Good,Good,0.9999983607180402,True
Moderate,Moderate,0.9999997989855964,True
Good,Good,0.999998907119267,True
Good,Good,0.9999999471029796,True
Unhealthy,Unhealthy,0.994743246228879,True
Good,Good,0.9999932710223204,True
Good,Good,0.9999996586530514,True
Moderate,Moderate,0.9999877727435452,True
Good,Good,0.9999997832732673,True
Good,Good,0.9999929937811942,True
Moderate,Moderate,0.9999984062437933,True
Moderate,Moderate,0.9999828879794235,True
Moderate,Moderate,0.9999986352733343,True
Moderate,Moderate,0.9999923596557505,True
Unhealthy,Unhealthy,0.9999947429903648,True
Unhealthy,Unhealthy,0.9999999109807746,True
Good,Good,0.9999985484772734,True
Moderate,Moderate,0.999998530025758,True
Moderate,Moderate,0.999977295365362,True
Satisfactory,Satisfactory,0.9999721250835549,True
Good,Good,0.9999983140303129,True
Unhealthy,Unhealthy,0.9999984273152343,True
Satisfactory,Satisfactory,0.9999992817838244,True
Moderate,Moderate,0.9999982517530478,True
Moderate,Moderate,0.9999988799862959,True
Satisfactory,Satisfactory,0.9999974382371405,True
Unhealthy,Unhealthy,0.9999913113306913,True
Satisfactory,Satisfactory,0.9999993625439298,True
Moderate,Moderate,0.997238435705023,True
Moderate,Moderate,0.9537697205285056,True
Moderate,Moderate,0.9999984986675443,True
Satisfactory,Satisfactory,0.9999993079678058,True
Good,Good,0.9999973563859387,True
Moderate,Moderate,0.999992227327518,True
Unhealthy,Unhealthy,0.9999771241462371,True
Good,Good,0.9999802832828768,True
Unhealthy,Unhealthy,0.9999918832079522,True
Unhealthy,Unhealthy,0.9999992092878343,True
Good,Good,0.999999840956806,True
Moderate,Moderate,0.9999998066918808,True
Satisfactory,Satisfactory,0.9999969755619097,True
Good,Good,0.9999984648022526,True
Good,Good,0.9999996462284665,True
Moderate,Moderate,0.9999485792524854,True
Satisfactory,Satisfactory,0.9999993513476584,True
Moderate,Moderate,0.9999986924636112,True
Unhealthy,Unhealthy,0.9999842727336288,True
Good,Good,0.9999996899099022,True
Moderate,Moderate,0.9999966705956239,True
Good,Good,0.9999983838039308,True
Moderate,Moderate,0.9999998769427074,True
Very_Unhealthy,Very_Unhealthy,0.9999858447553901,True
Good,Good,0.9999969259268606,True
Moderate,Moderate,0.9999867780369145,True
Good,Good,0.9999991168880885,True
Good,Good,0.9999994252920351,True
Unhealthy,Unhealthy,0.9997857143428535,True
Moderate,Moderate,0.9999869279654922,True
Hazardous,Hazardous,0.9999998300944466,True
Moderate,Moderate,0.9999955184530431,True
Good,Good,0.9999992468949058,True
Good,Good,0.9999999594657939,True
Unhealthy,Unhealthy,0.999999286637602,True
Moderate,Moderate,0.9999098715816013,True
Good,Good,0.9999864837421937,True
Moderate,Moderate,0.9999997167670246,True
Unhealthy,Unhealthy,0.9999998615438496,True
Moderate,Moderate,0.9999997221696314,True
Moderate,Moderate,0.9999902235693308,True
Moderate,Moderate,0.9999899985506822,True
Moderate,Moderate,0.9998824566853585,True
Moderate,Unhealthy,0.6729812009188629,False
Good,Good,0.999998436398844,True
Satisfactory,Satisfactory,0.9999999564748615,True
Satisfactory,Satisfactory,0.9999993205045478,True
Satisfactory,Satisfactory,0.999981160094692,True
Moderate,Moderate,0.9999995039135164,True
Unhealthy,Unhealthy,0.9999999495791866,True
Good,Good,0.9999987987444023,True
Moderate,Moderate,0.9563077767236916,True
Unhealthy,Unhealthy,0.9999997632115601,True
Satisfactory,Satisfactory,0.9999983479110535,True
Unhealthy,Unhealthy,0.9999987933233819,True
Unhealthy,Unhealthy,0.9999983151886471,True
Good,Good,0.9999998744251382,True
Unhealthy,Unhealthy,0.9999999221945154,True
Unhealthy,Unhealthy,0.9999940143096004,True
Moderate,Moderate,0.9999309485167419,True
Moderate,Moderate,0.9999996885617739,True
Unhealthy,Unhealthy,0.9999993304405554,True
Good,Good,0.9999999603723015,True
Unhealthy,Unhealthy,0.9999998314693956,True
Unhealthy,Unhealthy,0.9999999408931538,True
Good,Good,0.9999990132209541,True
Moderate,Moderate,0.9999904928744546,True
Moderate,Moderate,0.99990609483409,True
