model,split,accuracy,weighted_f1,macro_f1,cohen_kappa
DecisionTree,test,0.667805294619983,0.6710932435741329,0.6601884498394271,0.517024091262205
RandomForest,test,0.6524338172502135,0.6422128393301411,0.570877368507418,0.47544305343923143
ExtraTrees,test,0.6436806148590948,0.6302941141520804,0.6106644565331052,0.4664586990187669
LogisticRegression,test,0.5597779675491034,0.5653232423749552,0.5426148704727075,0.3664675564476323
StackingEnsemble,test,0.498932536293766,0.5127350510933522,0.43936243610073034,0.337353450677071
