,precision,recall,f1-score,support
Good,0.25836972343522563,0.7667386609071274,0.3864997278170931,463.0
Hazardous,0.21153846153846154,0.9339622641509434,0.34494773519163763,106.0
Moderate,0.7691237830319889,0.4990974729241877,0.6053639846743295,2216.0
Unhealthy,0.5020441537203598,0.5643382352941176,0.531371700562527,1088.0
Very_Unhealthy,0.9005524861878453,0.20098643649815043,0.3286290322580645,811.0
accuracy,0.498932536293766,0.498932536293766,0.498932536293766,0.498932536293766
macro avg,0.5283257215827762,0.5930246139549054,0.43936243610073034,4684.0
weighted avg,0.6667375464599845,0.498932536293766,0.5127350510933522,4684.0
