,precision,recall,f1-score,support
Good,0.3714788732394366,0.4557235421166307,0.4093113482056256,463.0
Hazardous,0.8888888888888888,0.7547169811320755,0.8163265306122449,106.0
Moderate,0.7388268156424581,0.7161552346570397,0.727314390467461,2216.0
Unhealthy,0.5937794533459001,0.5790441176470589,0.5863192182410424,1088.0
Very_Unhealthy,0.758873929008568,0.7644882860665845,0.7616707616707616,811.0
accuracy,0.667805294619983,0.667805294619983,0.667805294619983,0.667805294619983
macro avg,0.6703695920250503,0.6540256323238779,0.6601884498394271,4684.0
weighted avg,0.6756908551797729,0.667805294619983,0.6710932435741329,4684.0
