,precision,recall,f1-score,support
Good,0.5218978102189781,0.30885529157667385,0.3880597014925373,463.0
Hazardous,0.8809523809523809,0.3490566037735849,0.5,106.0
Moderate,0.7070583435332517,0.7820397111913358,0.7426612384829655,2216.0
Unhealthy,0.5097087378640777,0.48253676470588236,0.49575070821529743,1088.0
Very_Unhealthy,0.6967305524239008,0.7620221948212084,0.7279151943462897,811.0
accuracy,0.6524338172502135,0.6524338172502135,0.6524338172502135,0.6524338172502135
macro avg,0.6632695649985179,0.536902113213737,0.570877368507418,4684.0
weighted avg,0.6450624493155264,0.6524338172502135,0.6422128393301411,4684.0
